# dt           R           V
  5.7057e+00  1.1904e+09  4.4977e+08
  5.7057e+00  2.4232e+07  9.1559e+06
  5.7057e+00 -1.0183e+09 -3.8475e+08
  5.8058e+00  1.2325e+09  4.5767e+08
  5.8058e+00  2.5090e+07  9.3165e+06
  5.8058e+00 -1.0543e+09 -3.9150e+08
  5.9059e+00  1.2754e+09  4.6556e+08
  5.9059e+00  2.5963e+07  9.4772e+06
  5.9059e+00 -1.0910e+09 -3.9825e+08
  6.0060e+00  1.3190e+09  4.7345e+08
  6.0060e+00  2.6850e+07  9.6378e+06
  6.0060e+00 -1.1283e+09 -4.0500e+08
  6.1061e+00  1.3633e+09  4.8134e+08
  6.1061e+00  2.7753e+07  9.7984e+06
  6.1061e+00 -1.1662e+09 -4.1175e+08
  6.2062e+00  1.4084e+09  4.8923e+08
  6.2062e+00  2.8670e+07  9.9591e+06
  6.2062e+00 -1.2048e+09 -4.1850e+08
  6.3063e+00  1.4542e+09  4.9712e+08
  6.3063e+00  2.9602e+07  1.0120e+07
  6.3063e+00 -1.2439e+09 -4.2525e+08
  6.4064e+00  1.5007e+09  5.0501e+08
  6.4064e+00  3.0549e+07  1.0280e+07
  6.4064e+00 -1.2837e+09 -4.3200e+08
  6.5065e+00  1.5480e+09  5.1290e+08
  6.5065e+00  3.1512e+07  1.0441e+07
  6.5065e+00 -1.3242e+09 -4.3875e+08
  6.6066e+00  1.5960e+09  5.2079e+08
  6.6066e+00  3.2489e+07  1.0602e+07
  6.6066e+00 -1.3652e+09 -4.4550e+08
  6.7067e+00  1.6447e+09  5.2868e+08
  6.7067e+00  3.3481e+07  1.0762e+07
  6.7067e+00 -1.4069e+09 -4.5225e+08
  6.8068e+00  1.6942e+09  5.3657e+08
  6.8068e+00  3.4487e+07  1.0923e+07
  6.8068e+00 -1.4492e+09 -4.5900e+08
  6.9069e+00  1.7444e+09  5.4446e+08
  6.9069e+00  3.5509e+07  1.1083e+07
  6.9069e+00 -1.4922e+09 -4.6575e+08
  7.0070e+00  1.7953e+09  5.5236e+08
  7.0070e+00  3.6546e+07  1.1244e+07
  7.0070e+00 -1.5357e+09 -4.7250e+08
  7.1071e+00  1.8469e+09  5.6025e+08
  7.1071e+00  3.7598e+07  1.1405e+07
  7.1071e+00 -1.5799e+09 -4.7925e+08
  7.2072e+00  1.8993e+09  5.6814e+08
  7.2072e+00  3.8664e+07  1.1565e+07
  7.2072e+00 -1.6247e+09 -4.8600e+08
  7.3073e+00  1.9525e+09  5.7603e+08
  7.3073e+00  3.9746e+07  1.1726e+07
  7.3073e+00 -1.6702e+09 -4.9275e+08
  7.4074e+00  2.0063e+09  5.8392e+08
  7.4074e+00  4.0842e+07  1.1887e+07
  7.4074e+00 -1.7163e+09 -4.9950e+08
  7.5075e+00  2.0609e+09  5.9181e+08
  7.5075e+00  4.1953e+07  1.2047e+07
  7.5075e+00 -1.7630e+09 -5.0625e+08
  7.6076e+00  2.1162e+09  5.9970e+08
  7.6076e+00  4.3080e+07  1.2208e+07
  7.6076e+00 -1.8103e+09 -5.1300e+08
  7.7077e+00  2.1723e+09  6.0759e+08
  7.7077e+00  4.4221e+07  1.2369e+07
  7.7077e+00 -1.8582e+09 -5.1975e+08
  7.8078e+00  2.2291e+09  6.1548e+08
  7.8078e+00  4.5377e+07  1.2529e+07
  7.8078e+00 -1.9068e+09 -5.2650e+08
  7.9079e+00  2.2866e+09  6.2337e+08
  7.9079e+00  4.6548e+07  1.2690e+07
  7.9079e+00 -1.9560e+09 -5.3325e+08
  8.0080e+00  2.3449e+09  6.3126e+08
  8.0080e+00  4.7734e+07  1.2850e+07
  8.0080e+00 -2.0059e+09 -5.4000e+08
  8.1081e+00  2.4039e+09  6.3915e+08
  8.1081e+00  4.8934e+07  1.3011e+07
  8.1081e+00 -2.0563e+09 -5.4675e+08
  8.2082e+00  2.4636e+09  6.4704e+08
  8.2082e+00  5.0150e+07  1.3172e+07
  8.2082e+00 -2.1074e+09 -5.5350e+08
  8.3083e+00  2.5240e+09  6.5494e+08
